"TRIAL","ROW","N","MEAN","SD","YES","NO"
"T","V071",NA,NA,NA,0,2
"T","V071",NA,NA,NA,2,0
"T","V072",NA,NA,NA,0,2
"T","V072",NA,NA,NA,2,0
"T","V073",NA,NA,NA,0,2
"T","V073",NA,NA,NA,2,0
"T","V074",NA,NA,NA,0,2
"T","V074",NA,NA,NA,2,0
"T","V075",NA,NA,NA,0,2
"T","V075",NA,NA,NA,2,0
"T","V076",NA,NA,NA,0,2
"T","V076",NA,NA,NA,2,0
"T","V077",NA,NA,NA,0,2
"T","V077",NA,NA,NA,2,0
"T","V078",NA,NA,NA,0,2
"T","V078",NA,NA,NA,2,0
"T","V079",NA,NA,NA,0,2
"T","V079",NA,NA,NA,2,0
"T","V080",NA,NA,NA,0,2
"T","V080",NA,NA,NA,2,0
"T","V081",NA,NA,NA,0,2
"T","V081",NA,NA,NA,2,0
"T","V082",NA,NA,NA,0,2
"T","V082",NA,NA,NA,2,0
"T","V083",NA,NA,NA,0,2
"T","V083",NA,NA,NA,2,0
"T","V084",NA,NA,NA,0,2
"T","V084",NA,NA,NA,2,0
"T","V085",NA,NA,NA,0,2
"T","V085",NA,NA,NA,2,0
"T","V086",NA,NA,NA,0,2
"T","V086",NA,NA,NA,2,0
"T","V087",NA,NA,NA,0,2
"T","V087",NA,NA,NA,2,0
"T","V088",NA,NA,NA,0,2
"T","V088",NA,NA,NA,2,0
"T","V089",NA,NA,NA,0,2
"T","V089",NA,NA,NA,2,0
"T","V090",NA,NA,NA,0,2
"T","V090",NA,NA,NA,2,0
"T","V091",NA,NA,NA,0,2
"T","V091",NA,NA,NA,2,0
"T","V092",NA,NA,NA,0,2
"T","V092",NA,NA,NA,2,0
"T","V093",NA,NA,NA,0,2
"T","V093",NA,NA,NA,2,0
"T","V094",NA,NA,NA,0,2
"T","V094",NA,NA,NA,2,0
"T","V095",NA,NA,NA,0,2
"T","V095",NA,NA,NA,2,0
"T","V096",NA,NA,NA,0,2
"T","V096",NA,NA,NA,2,0
"T","V097",NA,NA,NA,0,2
"T","V097",NA,NA,NA,2,0
"T","V098",NA,NA,NA,0,2
"T","V098",NA,NA,NA,2,0
"T","V099",NA,NA,NA,0,2
"T","V099",NA,NA,NA,2,0
"T","V100",NA,NA,NA,0,2
"T","V100",NA,NA,NA,2,0
